Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,83.7,1004.4,USD,Number of NAT Gateways (2),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Standard,0,471.04,5652.48,USD,S3 Standard storage (20 TB per month),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Standard - Infrequent Access,0,384,4608,USD,S3 Infrequent Access storage (30 TB per month),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Storage Management,0,0,0,USD,,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",Data Transfer,0,184.23,2210.76,USD,"DT Inbound: Internet (5 TB per month) 
, DT Outbound: Internet (2 TB per month) 
, DT Outbound: Amazon Cloud Front (3 TB per month) 
",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"Database for customer data, meta-data for social media objects, application data",Amazon RDS for MySQL,58990,2857.118,93275.42,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 3 Year Partial Upfront), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Instance type (db.m5.8xlarge), Additional backup storage (2 TB)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"A1 instances to handle frontend web traffic for 50,000 users",Amazon EC2,0,864.6,10375.2,USD,"Operating system (Linux), Quantity (40), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (a1.medium)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"Instances to handle Application/Backend layer. Items like processing posts, dealing with uploads, etc",Amazon EC2,1467.3,172.28,3534.66,USD,"Operating system (Linux), Quantity (5), Pricing strategy (Compute Savings Plans 1 Year Partial Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.large)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"Elastic Load Balancer to load balance front end traffic, back end traffic to App/Backend, and read traffic from databases (read replicas)",Elastic Load Balancing,0,1200.85,14410.2,USD,Number of Application Load Balancers (2),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),R53 for DNS resolution,Amazon Route 53,0,183,2196,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Read-Replica for RDS,Amazon RDS for MySQL,14628,1925.66,37735.92,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year Partial Upfront), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Instance type (db.m5.8xlarge), Additional backup storage (2 TB)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Secondary VPC  R53 for DNS resolution,Amazon Route 53,0,732,8784,USD,"Hosted Zones (4), Number of Elastic Network Interfaces (8)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"Secondary VPC  Elastic Load Balancer to load balance front end traffic, back end traffic to App/Backend, and read traffic from databases (read replicas)",Elastic Load Balancing,0,1200.85,14410.2,USD,Number of Application Load Balancers (2),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (Ohio),"Secondary VPC Instances to handle Application/Backend layer. Items like processing posts, dealing with uploads, etc",Amazon EC2,0,618.3,7419.6,USD,"Operating system (Linux), Quantity (10), Pricing strategy (Compute Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.large)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"Secondary VPC A1 instances to handle frontend web traffic for 50,000 users",Amazon EC2,0,1962.56,23550.72,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (20 GB), Snapshot Frequency (No snapshot storage), DT Inbound: Internet (0 TB per month) 
, DT Outbound: Amazon Cloud Front (1 TB per month) 
, DT Intra-Region: (1 TB per month) 
, Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 40, Peak: 80, Duration of peak: 12 Hr 0 Min)), Advance EC2 instance (a1.large), Pricing strategy (Compute Savings Plans 1 Year  None upfront)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Monitoring for issue detection in Secondary VPC,Amazon CloudWatch,0,548.728,6584.74,USD,,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Additional VPC with Nat Gateway in a different region,Amazon Virtual Private Cloud (VPC),0,41.85,502.2,USD,Number of NAT Gateways (1),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),Monitoring for issue detection in Primary VPC,Amazon CloudWatch,0,548.728,6584.74,USD,,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Standard,0,471.04,5652.48,USD,S3 Standard storage (20 TB per month),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Standard - Infrequent Access,0,384,4608,USD,S3 Infrequent Access storage (30 TB per month),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Storage Management,0,0,0,USD,,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",Data Transfer,0,184.23,2210.76,USD,"DT Inbound: Internet (5 TB per month) 
, DT Outbound: Internet (2 TB per month) 
, DT Outbound: Amazon Cloud Front (3 TB per month) 
",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Secondary VPC Caching Server to improve performance of the app,Amazon ElastiCache,0,99.28,1191.36,USD,( 2 instances of type Redis  Standard  cache t3.medium  OnDemand ),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),Primary VPC Caching Server to improve performance of the app,Amazon ElastiCache,0,99.28,1191.36,USD,( 2 instances of type Redis  Standard  cache t3.medium  OnDemand ),,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"Notification Service to notify for both Internal notifications (infrastructure failures) and user notification (account sign up, email notification)",Amazon Simple Notification Service (SNS),0,113.67,1364.04,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Internet (1 TB per month) 
, Requests (1 million per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"Notification Service to notify for both Internal notifications (infrastructure failures) and user notification (account sign up, email notification)",Amazon Simple Notification Service (SNS),0,113.67,1364.04,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Internet (1 TB per month) 
, Requests (1 million per month)",,,,,,,,,
