Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,41.85,502.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),"S3 Storage for social media Items, large file uploads, database dumps outside of the regular backup",Data Transfer,0,460.71,5528.52,USD,"DT Inbound: Internet (5 TB per month) 
, DT Outbound: Internet (5 TB per month) 
"
My Estimate,US East (N. Virginia),"Database for customer data, meta-data for social media objects, application data",Amazon RDS for MySQL,0,3036.6400000000003,36439.68,USD,"Quantity (2), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (db.m5.2xlarge), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),"A1 instances to handle frontend web traffic for 50,000 users",Amazon EC2,0,864.6,10375.20,USD,"Operating system (Linux), Quantity (40), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (a1.medium)"
My Estimate,US East (N. Virginia),"Instances to handle Application/Backend layer. Items like processing posts, dealing with uploads, etc/ On Demand due to startup",Amazon EC2,0,400.4,4804.80,USD,"Operating system (Linux), Quantity (5), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),"Elastic Load Balancer to load balance front end traffic, back end traffic to App/Backend, and read traffic from databases (read replicas)",Elastic Load Balancing,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),R53 for DNS resolution,Amazon Route 53,0,183,2196.00,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
Global,All,Business support plan,AWS Support,0,736.57 ,8838.84,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 1 hour."



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
